Actual P(h),Expected P(h),c_1,c_2,A
"16.5*h**2 - 94.5*h + 173.0 for k >= 9,21.0*h**2 - 168.0*h + 476.0,6,7,""[(0, 0), (3, 2), (5, 3), (3, 6), (7, 3)]"""
"4.5*h**2 - 2.5*h + 1.0 for k >= 3,6.0*h**2 - 12.0*h + 16.0,3,4,""[(0, 0), (0, 1), (1, 0), (4, 0), (9, 0)]"""
"9.0*h**2 - 30.0*h + 45.0 for k >= 4,10.0*h**2 - 40.0*h + 70.0,4,5,""[(0, 3), (1, 2), (2, 0), (2, 2), (6, 3)]"""
"4.0*h**2 + 1.0*h - 5.0 for k >= 3,6.0*h**2 - 12.0*h + 16.0,3,4,""[(0, 1), (1, 0), (1, 1), (4, 2), (6, 3)]"""
"21.5*h**2 - 150.5*h + 183.0 for k >= 15,27.5*h**2 - 302.5*h + 1155.0,5,11,""[(0, 0), (1, 1), (3, 2), (1, 9), (5, 2)]"""
"7.0*h**2 - 10.0*h - 17.0 for k >= 6,10.5*h**2 - 52.5*h + 112.0,3,7,""[(0, 0), (1, 0), (2, 1), (2, 2), (7, 0)]"""
"16.0*h**2 - 93.0*h + 176.0 for k >= 9,20.0*h**2 - 160.0*h + 460.0,5,8,""[(0, 0), (3, 2), (5, 3), (6, 7), (8, 4)]"""
"23.0*h**2 - 196.0*h + 576.0 for k >= 9,24.0*h**2 - 216.0*h + 676.0,6,8,""[(0, 0), (1, 1), (2, 1), (1, 6), (8, 2)]"""
"3.5*h**2 - 1.5*h + 3.0 for k >= 1,4.0*h**2 - 4.0*h + 6.0,2,4,""[(0, 0), (1, 0), (1, 1), (2, 2), (5, 7)]"""
"22.5*h**2 - 187.5*h + 540.0 for k >= 9,24.0*h**2 - 216.0*h + 676.0,6,8,""[(0, 0), (1, 1), (2, 1), (4, 7), (7, 1)]"""
"8.0*h**2 - 26.0*h + 41.0 for k >= 4,9.0*h**2 - 36.0*h + 66.0,3,6,""[(0, 0), (2, 1), (3, 2), (3, 1), (8, 0)]"""
"18.0*h**2 - 120.0*h + 262.0 for k >= 10,22.5*h**2 - 202.5*h + 645.0,5,9,""[(0, 0), (1, 0), (1, 1), (0, 4), (9, 0)]"""
"27.0*h**2 - 261.0*h + 837.0 for k >= 12,30.0*h**2 - 330.0*h + 1235.0,6,10,""[(0, 0), (1, 1), (2, 1), (0, 6), (9, 0)]"""
"22.0*h**2 - 192.0*h + 590.0 for k >= 9,22.5*h**2 - 202.5*h + 645.0,5,9,""[(0, 0), (1, 1), (2, 1), (4, 8), (6, 1)]"""
